generation,units,dropout_rate,val_loss
0,118.1794352033802,0.11935500131054683,2.0263010810595006e-05
0,120.8205647966198,0.26314178135890487,7.361236930591986e-05
0,60.0,0.13814254923989247,4.5744876842945814e-05
0,45.0,0.6699324925486821,0.000366166204912588
0,101.0,0.99,0.04253438487648964
0,86.0,0.03146485268696576,2.8944552468601614e-05
0,61.297126204271265,0.23760856031959374,5.943945507169701e-05
0,77.70287379572873,0.5748415764954542,3.48618850694038e-05
0,115.32385909615658,0.04980959842146068,4.193760105408728e-05
0,100.77566258975041,0.8413513996126549,0.0005315022426657379
1,120.8205647966198,0.26314178135890487,6.0759066400351e-05
1,86.0,0.03146485268696576,8.114123374980409e-06
1,84.30506476451264,0.4598855477245028,0.00012461196456570178
1,53.397809031216106,0.25309857801084384,3.7206534670986002e-06
1,115.32385909615658,0.04980959842146068,8.871468162396923e-05
1,61.297126204271265,0.23760856031959374,4.287254341761582e-06
1,86.0,0.03146485268696576,7.220991392387077e-06
1,115.32385909615658,0.04980959842146068,1.046006855176529e-05
1,118.1794352033802,0.11935500131054683,3.753262717509642e-05
1,60.0,0.13814254923989247,9.006358595797792e-05
