trial_id,units,dropout_rate,val_loss
00,96,0.2,3.6856286897091195e-05
01,64,0.2,5.9260310081299394e-05
02,96,0.1,5.2233124733902514e-05
03,128,0.4,2.9536107831518166e-05
04,32,0.2,5.1614464609883726e-05
05,96,0.0,7.942377851577476e-05
06,32,0.4,5.186213456909172e-05
07,96,0.30000000000000004,4.1302580939373e-05
08,64,0.1,4.458249532035552e-05
09,128,0.1,4.3155061575816944e-05
