epoch,loss,mae,val_loss,val_mae
0,0.004737600684165955,0.3424431085586548,0.00014781752543058246,0.5565145611763
1,0.000584486813750118,0.34128692746162415,4.923387314192951e-05,0.5545441508293152
2,0.00042642082553356886,0.3412877023220062,5.107842298457399e-05,0.553192675113678
3,0.00041566576692275703,0.3412610590457916,9.470776421949267e-05,0.5466060042381287
4,0.0004004035145044327,0.3414926528930664,0.00023995645460672677,0.5667042136192322
5,0.0003961518523283303,0.34138059616088867,7.553418981842697e-05,0.5588405728340149
6,0.0003941571048926562,0.34133341908454895,8.296828309539706e-05,0.5566287636756897
7,0.0003957049921154976,0.34110310673713684,0.00014795380411669612,0.5625740885734558
8,0.00038816776941530406,0.341403067111969,7.294613897101954e-05,0.5532460808753967
9,0.00039413454942405224,0.34115877747535706,8.592689846409485e-05,0.55707186460495
10,0.0003876048431266099,0.34118133783340454,8.887291187420487e-05,0.5596539378166199
11,0.00038844268419779837,0.3412731885910034,7.596579962410033e-05,0.5570005774497986
