capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
236.78,23.68,47.53,3.48,2020-07-24T13:16:00,134160,50mA,25C,0.8022963760315752,0.5344827586206897,0.1955520421607378,0.19561551433389546,0.0008373181643155386
236.27,23.63,47.53,3.48,2020-07-24T13:17:30,134250,50mA,25C,0.8028345891639757,0.5344827586206897,0.19501449275362318,0.1950885328836425,0.0008373181643155386
235.25,23.52,47.53,3.48,2020-07-24T13:20:30,134430,50mA,25C,0.8039110154287765,0.5344827586206897,0.1939393939393939,0.19392917369308602,0.0008373181643155386
