capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
1176.96,98.08,31.22,3.32,2020-08-14T01:07:30,4050,30mA,35C,0.02390226628895184,0.5257731958762886,0.9760844517796532,0.9760866857641051,0.10727907165462958
1156.31,96.36,31.22,3.32,2020-08-14T02:08:00,7680,30mA,35C,0.04532577903682719,0.5257731958762886,0.9546497264866771,0.954664341761116,0.10727907165462958
1156.14,96.35,31.22,3.34,2020-08-14T02:08:30,7710,30mA,35C,0.0455028328611898,0.536082474226804,0.9544732662784543,0.9545397932494706,0.10727907165462958
1152.22,96.02,31.22,3.34,2020-08-14T02:20:00,8400,30mA,35C,0.04957507082152974,0.536082474226804,0.9504043014770758,0.9504296923651763,0.10727907165462958
1152.05,96.0,31.22,3.36,2020-08-14T02:20:30,8430,30mA,35C,0.04975212464589235,0.5463917525773196,0.9502278412688527,0.9501805953418856,0.10727907165462958
1151.88,95.99,31.22,3.34,2020-08-14T02:21:00,8460,30mA,35C,0.04992917847025495,0.536082474226804,0.9500513810606297,0.9500560468302404,0.10727907165462958
1076.1,89.68,31.22,3.38,2020-08-14T06:03:00,21780,30mA,35C,0.1285410764872521,0.5567010309278351,0.8713916482421449,0.8714659359820651,0.10727907165462958
1073.2,89.43,31.22,3.36,2020-08-14T06:11:30,22290,30mA,35C,0.13155099150141641,0.5463917525773196,0.8683814446901048,0.8683522231909331,0.10727907165462958
1041.97,86.83,31.22,3.36,2020-08-14T07:43:00,27780,30mA,35C,0.16395184135977336,0.5463917525773196,0.8359646664383065,0.8359696101631586,0.10727907165462958
1028.83,85.74,31.22,3.36,2020-08-14T08:21:30,30090,30mA,35C,0.17758498583569404,0.5463917525773196,0.8223253303438898,0.8223938223938223,0.10727907165462958
1028.66,85.72,31.22,3.36,2020-08-14T08:22:00,30120,30mA,35C,0.17776203966005666,0.5463917525773196,0.822148870135667,0.8221447253705318,0.10727907165462958
1028.49,85.71,31.22,3.34,2020-08-14T08:22:30,30150,30mA,35C,0.17793909348441925,0.536082474226804,0.8219724099274437,0.8220201768588864,0.10727907165462958
1024.06,85.34,31.22,3.34,2020-08-14T08:35:30,30930,30mA,35C,0.18254249291784702,0.536082474226804,0.817374064501396,0.817411881928011,0.10727907165462958
1021.15,85.1,31.22,3.36,2020-08-14T08:44:00,31440,30mA,35C,0.18555240793201133,0.5463917525773196,0.8143534809371076,0.8144227176485241,0.10727907165462958
1015.52,84.63,31.22,3.36,2020-08-14T09:00:30,32430,30mA,35C,0.19139518413597734,0.5463917525773196,0.8085095340412503,0.8085689376011957,0.10727907165462958
1015.35,84.61,31.22,3.36,2020-08-14T09:01:00,32460,30mA,35C,0.19157223796033993,0.5463917525773196,0.8083330738330272,0.8083198405779051,0.10727907165462958
1003.41,83.62,31.22,3.38,2020-08-14T09:36:00,34560,30mA,35C,0.20396600566572237,0.5567010309278351,0.7959393392084202,0.7959895379250219,0.10727907165462958
1003.24,83.6,31.22,3.38,2020-08-14T09:36:30,34590,30mA,35C,0.20414305949008496,0.5567010309278351,0.7957628790001972,0.7957404409017312,0.10727907165462958
1003.06,83.59,31.22,3.38,2020-08-14T09:37:00,34620,30mA,35C,0.20432011331444758,0.5567010309278351,0.7955760387797257,0.795615892390086,0.10727907165462958
1002.38,83.53,31.22,3.38,2020-08-14T09:39:00,34740,30mA,35C,0.20502832861189801,0.5567010309278351,0.7948701979468336,0.7948686013202142,0.10727907165462958
