capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
996.59,99.66,41.35,3.91013,2020-07-11T00:10:00,600,30mA,15C,0.003588087549336204,0.7198836206896553,0.9964057971014494,0.9964165261382799,0.000793323722422408
967.06,96.71,41.35,3.89013,2020-07-11T01:36:30,5790,30mA,15C,0.03462504485109437,0.7112629310344829,0.9652806324110671,0.9653246205733558,0.000793323722422408
961.43,96.14,41.35,3.89013,2020-07-11T01:53:00,6780,30mA,15C,0.040545389307499104,0.7112629310344829,0.9593465085638998,0.9593170320404721,0.000793323722422408
955.8,95.58,41.35,3.87013,2020-07-11T02:09:30,7770,30mA,15C,0.04646573376390384,0.7026422413793105,0.9534123847167325,0.9534148397976391,0.000793323722422408
924.4,92.44,41.35,3.87013,2020-07-11T03:41:30,13290,30mA,15C,0.07947613921779692,0.7026422413793105,0.9203162055335968,0.9203204047217538,0.000793323722422408
922.18,92.22,41.35,3.87013,2020-07-11T03:48:00,13680,30mA,15C,0.08180839612486544,0.7026422413793105,0.9179762845849802,0.9180016863406408,0.000793323722422408
912.97,91.3,41.35,3.87013,2020-07-11T04:15:00,15300,30mA,15C,0.09149623250807319,0.7026422413793105,0.9082687747035573,0.9083052276559865,0.000793323722422408
996.59,99.66,41.35,4.26,2020-07-21T00:10:00,600,50mA,15C,0.003588087549336204,0.8706896551724139,0.9964057971014494,0.9964165261382799,0.000793323722422408
967.06,96.71,41.35,4.24,2020-07-21T01:36:30,5790,50mA,15C,0.03462504485109437,0.8620689655172418,0.9652806324110671,0.9653246205733558,0.000793323722422408
961.43,96.14,41.35,4.24,2020-07-21T01:53:00,6780,50mA,15C,0.040545389307499104,0.8620689655172418,0.9593465085638998,0.9593170320404721,0.000793323722422408
955.8,95.58,41.35,4.22,2020-07-21T02:09:30,7770,50mA,15C,0.04646573376390384,0.8534482758620692,0.9534123847167325,0.9534148397976391,0.000793323722422408
924.4,92.44,41.35,4.22,2020-07-21T03:41:30,13290,50mA,15C,0.07947613921779692,0.8534482758620692,0.9203162055335968,0.9203204047217538,0.000793323722422408
922.18,92.22,41.35,4.22,2020-07-21T03:48:00,13680,50mA,15C,0.08180839612486544,0.8534482758620692,0.9179762845849802,0.9180016863406408,0.000793323722422408
912.97,91.3,41.35,4.22,2020-07-21T04:15:00,15300,50mA,15C,0.09149623250807319,0.8534482758620692,0.9082687747035573,0.9083052276559865,0.000793323722422408
