capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
906.65,89.66,104.8,3.88,2020-07-03T04:33:00,16380,100mA,25C,0.09795479009687837,0.7068965517241381,0.9016073781291172,0.8910202360876897,0.0012450142302086766
906.48,89.65,104.8,3.88,2020-07-03T04:33:30,16410,100mA,25C,0.09813419447434518,0.7068965517241381,0.9014281949934124,0.8909148397976392,0.0012450142302086766
905.29,89.53,104.8,3.88,2020-07-03T04:37:00,16620,100mA,25C,0.09939002511661285,0.7068965517241381,0.9001739130434782,0.8896500843170321,0.0012450142302086766
900.17,89.02,104.8,3.88,2020-07-03T04:52:00,17520,100mA,25C,0.10477215644061716,0.7068965517241381,0.8947773386034255,0.8842748735244519,0.0012450142302086766
888.56,87.86,104.8,3.86,2020-07-03T05:26:00,19560,100mA,25C,0.11697165410836025,0.6982758620689655,0.8825401844532279,0.8720489038785835,0.0012450142302086766
887.2,87.72,104.8,3.86,2020-07-03T05:30:00,19800,100mA,25C,0.11840688912809473,0.6982758620689655,0.881106719367589,0.8705733558178752,0.0012450142302086766
873.37,86.34,104.8,3.86,2020-07-03T06:10:30,22230,100mA,25C,0.13293864370290634,0.6982758620689655,0.8665296442687747,0.8560286677908938,0.0012450142302086766
871.33,86.13,104.8,3.86,2020-07-03T06:16:30,22590,100mA,25C,0.13509149623250807,0.6982758620689655,0.8643794466403162,0.8538153456998313,0.0012450142302086766
814.16,80.41,104.8,3.84,2020-07-03T09:04:00,32640,100mA,25C,0.1951919626838895,0.6896551724137931,0.8041212121212121,0.7935286677908937,0.0012450142302086766
812.96,80.29,104.8,3.84,2020-07-03T09:07:30,32850,100mA,25C,0.19644779332615717,0.6896551724137931,0.8028563899868247,0.7922639123102867,0.0012450142302086766
