capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
740.09,67.27,71.89,3.96,2020-06-01T17:34:30,63270,100mA,15C,0.3074792243767313,0.7450980392156861,0.66441019329212,0.692473926524476,0.12583697490241633
739.75,67.24,71.89,3.96,2020-06-01T17:35:30,63330,100mA,15C,0.30777081207173057,0.7450980392156861,0.6640931681072664,0.6921920511134078,0.12583697490241633
739.58,67.23,71.89,3.96,2020-06-01T17:36:00,63360,100mA,15C,0.3079166059192302,0.7450980392156861,0.6639346555148395,0.6920980926430518,0.12583697490241633
739.24,67.19,71.89,3.96,2020-06-01T17:37:00,63420,100mA,15C,0.30820819361422946,0.7450980392156861,0.6636176303299859,0.6917222587616273,0.12583697490241633
