capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
432.73,39.33,45.2,3.56,2020-06-28T08:35:00,117300,50mA,45C,0.5700539437235749,0.5490196078431371,0.3778194261844154,0.4299539603495255,0.12538582151161573
431.02,39.17,45.2,3.56,2020-06-28T08:40:00,117600,50mA,45C,0.5715118821985712,0.5490196078431371,0.3762249759900043,0.4284506248238279,0.12538582151161573
429.31,39.02,45.2,3.56,2020-06-28T08:45:00,117900,50mA,45C,0.5729698206735675,0.5490196078431371,0.3746305257955933,0.42704124776848634,0.12538582151161573
428.12,38.91,45.2,3.56,2020-06-28T08:48:30,118110,50mA,45C,0.573990377606065,0.5490196078431371,0.37352093764860556,0.42600770459456916,0.12538582151161573
427.95,38.9,45.2,3.56,2020-06-28T08:49:00,118140,50mA,45C,0.5741361714535647,0.5490196078431371,0.37336242505617867,0.42591374612421307,0.12538582151161573
426.92,38.8,45.2,3.56,2020-06-28T08:52:00,118320,50mA,45C,0.5750109345385624,0.5490196078431371,0.372402025231475,0.42497416142065203,0.12538582151161573
426.41,38.76,45.2,3.56,2020-06-28T08:53:30,118410,50mA,45C,0.5754483160810614,0.5490196078431371,0.37192648745419454,0.42459832753922766,0.12538582151161573
426.24,38.74,45.2,3.56,2020-06-28T08:54:00,118440,50mA,45C,0.575594109928561,0.5490196078431371,0.37176797486176766,0.4244104105985155,0.12538582151161573
426.07,38.72,45.2,3.56,2020-06-28T08:54:30,118470,50mA,45C,0.5757399037760607,0.5490196078431371,0.37160946226934083,0.42422249365780323,0.12538582151161573
