capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
1089.76,90.81,50.88,3.62,2020-08-22T05:23:00,19380,50mA,25C,0.11437677053824362,0.6804123711340206,0.8855707449734791,0.8855399177979824,0.2668181449322406
1088.9,90.74,50.88,3.62,2020-08-22T05:25:30,19530,50mA,25C,0.11526203966005664,0.6804123711340206,0.8846780639201155,0.8846680782164653,0.2668181449322406
1088.56,90.71,50.88,3.62,2020-08-22T05:26:30,19590,50mA,25C,0.11561614730878186,0.6804123711340206,0.8843251435036692,0.8842944326815294,0.2668181449322406
