capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
933.95,77.83,29.7,3.22,2020-08-14T12:59:30,46770,30mA,35C,0.2760269121813031,0.47422680412371143,0.7238397741309336,0.7238759496824013,0.09494441288647246
916.2,76.35,29.7,3.22,2020-08-14T13:51:30,49890,30mA,35C,0.29444050991501414,0.47422680412371143,0.7054152523899979,0.705442769958899,0.09494441288647246
874.39,72.87,29.7,3.22,2020-08-14T15:54:00,57240,30mA,35C,0.3378186968838527,0.47422680412371143,0.662016421179377,0.6620998879063396,0.09494441288647246
831.73,69.31,29.7,3.22,2020-08-14T17:59:00,64740,30mA,35C,0.3820821529745042,0.47422680412371143,0.617735288927641,0.6177606177606179,0.09494441288647246
824.56,68.71,29.7,3.22,2020-08-14T18:20:00,66000,30mA,35C,0.3895184135977337,0.47422680412371143,0.6102928201455278,0.6102877070619005,0.09494441288647246
815.86,67.99,29.7,3.22,2020-08-14T18:45:30,67530,30mA,35C,0.3985481586402266,0.47422680412371143,0.6012622094894072,0.60132021422344,0.09494441288647246
799.13,66.59,29.7,3.22,2020-08-14T19:34:30,70470,30mA,35C,0.41589943342776203,0.47422680412371143,0.5838964489978098,0.5838834225931001,0.09494441288647246
794.18,66.18,29.7,3.2,2020-08-14T19:49:00,71340,30mA,35C,0.4210339943342776,0.463917525773196,0.5787583429348446,0.5787769336156434,0.09494441288647246
793.84,66.15,29.7,3.2,2020-08-14T19:50:00,71400,30mA,35C,0.4213881019830028,0.463917525773196,0.5784054225183987,0.5784032880807075,0.09494441288647246
649.98,54.16,29.7,3.3,2020-08-15T02:51:30,96690,30mA,35C,0.5706444759206798,0.5154639175257731,0.42907856631270824,0.4290696226180096,0.09494441288647246
618.58,51.55,29.7,3.32,2020-08-15T04:23:30,102210,30mA,35C,0.6032223796033994,0.5257731958762886,0.39648532785268686,0.39656246107859006,0.09494441288647246
616.53,51.37,29.7,3.32,2020-08-15T04:29:30,102570,30mA,35C,0.6053470254957507,0.5257731958762886,0.3943574253417619,0.39432058786897495,0.09494441288647246
616.36,51.36,29.7,3.32,2020-08-15T04:30:00,102600,30mA,35C,0.6055240793201133,0.5257731958762886,0.39418096513353884,0.3941960393573297,0.09494441288647246
614.66,51.22,29.7,3.32,2020-08-15T04:35:00,102900,30mA,35C,0.6072946175637394,0.5257731958762886,0.39241636305130834,0.39245236019429564,0.09494441288647246
572.67,47.72,29.7,3.36,2020-08-15T06:38:00,110280,30mA,35C,0.6508498583569404,0.5463917525773196,0.34883069162021607,0.34886038111844564,0.09494441288647246
554.07,46.17,29.7,3.36,2020-08-15T07:32:30,113550,30mA,35C,0.6701487252124645,0.5463917525773196,0.3295238688381653,0.3295553618134264,0.09494441288647246
429.82,35.81,29.7,3.34,2020-08-15T13:36:30,135390,30mA,35C,0.7990439093484418,0.536082474226804,0.20055221665161566,0.20052310374891025,0.09494441288647246
429.48,35.78,29.7,3.34,2020-08-15T13:37:30,135450,30mA,35C,0.7993980169971671,0.536082474226804,0.20019929623516958,0.20014945821397434,0.09494441288647246
429.14,35.76,29.7,3.34,2020-08-15T13:38:30,135510,30mA,35C,0.7997521246458923,0.536082474226804,0.19984637581872344,0.19990036119068372,0.09494441288647246
428.63,35.71,29.7,3.34,2020-08-15T13:40:00,135600,30mA,35C,0.8002832861189801,0.536082474226804,0.19931699519405432,0.19927761863245735,0.09494441288647246
427.94,35.66,29.7,3.32,2020-08-15T13:42:00,135720,30mA,35C,0.8009915014164305,0.5257731958762886,0.1986007743489137,0.19865487607423088,0.09494441288647246
426.58,35.54,29.7,3.32,2020-08-15T13:46:00,135960,30mA,35C,0.8024079320113314,0.5257731958762886,0.19718909268312934,0.19716029393448747,0.09494441288647246
