capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
278.77,27.88,44.66,3.32,2020-07-26T11:13:00,126780,50mA,35C,0.7581628991747399,0.4655172413793103,0.23981027667984184,0.23988195615514335,0.0008168870885496348
278.6,27.86,44.66,3.32,2020-07-26T11:13:30,126810,50mA,35C,0.7583423035522067,0.4655172413793103,0.23963109354413703,0.2396711635750422,0.0008168870885496348
278.43,27.84,44.66,3.32,2020-07-26T11:14:00,126840,50mA,35C,0.7585217079296735,0.4655172413793103,0.2394519104084321,0.239460370994941,0.0008168870885496348
278.09,27.81,44.66,3.32,2020-07-26T11:15:00,126900,50mA,35C,0.7588805166846071,0.4655172413793103,0.23909354413702233,0.23914418212478922,0.0008168870885496348
277.92,27.79,44.66,3.32,2020-07-26T11:15:30,126930,50mA,35C,0.7590599210620739,0.4655172413793103,0.23891436100131752,0.23893338954468807,0.0008168870885496348
277.75,27.77,44.66,3.32,2020-07-26T11:16:00,126960,50mA,35C,0.7592393254395408,0.4655172413793103,0.2387351778656126,0.23872259696458686,0.0008168870885496348
