capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
202.82,18.43,36.53,3.82,2020-06-30T19:48:30,157710,50mA,5C,0.7664382563055838,0.6764705882352937,0.16344513133234495,0.23358075730527106,0.12523926849931744
202.64,18.41,36.53,3.82,2020-06-30T19:49:00,157740,50mA,5C,0.7665840501530835,0.6764705882352937,0.16327729446977535,0.23339284036455887,0.12523926849931744
202.3,18.38,36.53,3.82,2020-06-30T19:50:00,157800,50mA,5C,0.7668756378480828,0.6764705882352937,0.16296026928492174,0.23311096495349054,0.12523926849931744
