capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
549.64,53.96,99.66,3.68,2020-07-03T21:59:00,79140,100mA,25C,0.47326874775744526,0.6206896551724139,0.5253122529644269,0.5147554806070826,0.0012084233837150373
549.47,53.94,99.66,3.68,2020-07-03T21:59:30,79170,100mA,25C,0.4734481521349121,0.6206896551724139,0.525133069828722,0.5145446880269814,0.0012084233837150373
548.45,53.84,99.66,3.68,2020-07-03T22:02:30,79350,100mA,25C,0.47452457839971296,0.6206896551724139,0.5240579710144928,0.5134907251264755,0.0012084233837150373
545.38,53.53,99.66,3.68,2020-07-03T22:11:30,79890,100mA,25C,0.47775385719411556,0.6206896551724139,0.5208221343873518,0.5102234401349073,0.0012084233837150373
