capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
629.34,57.2,110.96,3.66,2020-06-03T22:58:30,82710,100mA,25C,0.4019536375564951,0.5980392156862744,0.5611439014611131,0.5978577468758808,0.12649739314814804
627.63,57.05,110.96,3.66,2020-06-03T23:03:30,83010,100mA,25C,0.40341157603149147,0.5980392156862744,0.5595494512667021,0.5964483698205393,0.12649739314814804
626.43,56.94,110.96,3.66,2020-06-03T23:07:00,83220,100mA,25C,0.4044321329639889,0.5980392156862744,0.5584305388495715,0.5954148266466222,0.12649739314814804
626.09,56.91,110.96,3.66,2020-06-03T23:08:00,83280,100mA,25C,0.40472372065898815,0.5980392156862744,0.5581135136647178,0.5951329512355538,0.12649739314814804
625.92,56.89,110.96,3.66,2020-06-03T23:08:30,83310,100mA,25C,0.40486951450648784,0.5980392156862744,0.557955001072291,0.5949450342948416,0.12649739314814804
625.75,56.88,110.96,3.66,2020-06-03T23:09:00,83340,100mA,25C,0.40501530835398747,0.5980392156862744,0.5577964884798642,0.5948510758244855,0.12649739314814804
625.58,56.86,110.96,3.66,2020-06-03T23:09:30,83370,100mA,25C,0.4051611022014871,0.5980392156862744,0.5576379758874375,0.5946631588837733,0.12649739314814804
