capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
469.6,46.96,37.53,3.41013,2020-07-12T01:54:00,93240,30mA,15C,0.5575888051668461,0.504366379310345,0.4409486166007905,0.4409780775716695,0.0007661297470127382
468.92,46.89,37.53,3.41013,2020-07-12T01:56:00,93360,30mA,15C,0.5583064226767133,0.504366379310345,0.440231884057971,0.4402403035413154,0.0007661297470127382
468.75,46.87,37.53,3.41013,2020-07-12T01:56:30,93390,30mA,15C,0.5584858270541802,0.504366379310345,0.4400527009222661,0.4400295109612142,0.0007661297470127382
468.57,46.85,37.53,3.41013,2020-07-12T01:57:00,93420,30mA,15C,0.5586652314316469,0.504366379310345,0.43986297760210796,0.439818718381113,0.0007661297470127382
467.72,46.77,37.53,3.41013,2020-07-12T01:59:30,93570,30mA,15C,0.559562253318981,0.504366379310345,0.43896706192358365,0.4389755480607083,0.0007661297470127382
469.6,46.96,37.53,3.76,2020-07-22T01:54:00,93240,50mA,15C,0.5575888051668461,0.6551724137931034,0.4409486166007905,0.4409780775716695,0.0007661297470127382
468.92,46.89,37.53,3.76,2020-07-22T01:56:00,93360,50mA,15C,0.5583064226767133,0.6551724137931034,0.440231884057971,0.4402403035413154,0.0007661297470127382
468.75,46.87,37.53,3.76,2020-07-22T01:56:30,93390,50mA,15C,0.5584858270541802,0.6551724137931034,0.4400527009222661,0.4400295109612142,0.0007661297470127382
468.57,46.85,37.53,3.76,2020-07-22T01:57:00,93420,50mA,15C,0.5586652314316469,0.6551724137931034,0.43986297760210796,0.439818718381113,0.0007661297470127382
467.72,46.77,37.53,3.76,2020-07-22T01:59:30,93570,50mA,15C,0.559562253318981,0.6551724137931034,0.43896706192358365,0.4389755480607083,0.0007661297470127382
