capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
362.41,36.24,35.94,3.23013,2020-07-12T07:08:00,112080,30mA,15C,0.6702547542160029,0.4267801724137932,0.3279683794466403,0.32799325463743684,0.0007548107886615929
361.38,36.14,35.94,3.23013,2020-07-12T07:11:00,112260,30mA,15C,0.6713311804808038,0.4267801724137932,0.3268827404479578,0.32693929173693087,0.0007548107886615929
362.41,36.24,35.94,3.58,2020-07-22T07:08:00,112080,50mA,15C,0.6702547542160029,0.5775862068965518,0.3279683794466403,0.32799325463743684,0.0007548107886615929
361.38,36.14,35.94,3.58,2020-07-22T07:11:00,112260,50mA,15C,0.6713311804808038,0.5775862068965518,0.3268827404479578,0.32693929173693087,0.0007548107886615929
