capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
979.52,97.95,27.79,3.9,2020-07-17T01:00:00,3600,30mA,45C,0.021528525296017224,0.7155172413793105,0.9784137022397891,0.978393760539629,0.0006967922285598105
979.01,97.9,27.79,3.9,2020-07-17T01:01:30,3690,30mA,45C,0.022066738428417654,0.7155172413793105,0.9778761528326746,0.9778667790893761,0.0006967922285598105
920.82,92.08,27.79,3.86,2020-07-17T03:52:00,13920,30mA,45C,0.08324363114459993,0.6982758620689655,0.9165428194993412,0.9165261382799326,0.0006967922285598105
920.65,92.06,27.79,3.86,2020-07-17T03:52:30,13950,30mA,45C,0.08342303552206674,0.6982758620689655,0.9163636363636363,0.9163153456998314,0.0006967922285598105
919.62,91.96,27.79,3.86,2020-07-17T03:55:30,14130,30mA,45C,0.0844994617868676,0.6982758620689655,0.9152779973649539,0.9152613827993255,0.0006967922285598105
917.4,91.74,27.79,3.86,2020-07-17T04:02:00,14520,30mA,45C,0.08683171869393613,0.6982758620689655,0.9129380764163373,0.9129426644182125,0.0006967922285598105
917.23,91.72,27.79,3.86,2020-07-17T04:02:30,14550,30mA,45C,0.08701112307140295,0.6982758620689655,0.9127588932806324,0.9127318718381113,0.0006967922285598105
139.67,13.97,27.79,2.84,2020-07-28T18:24:30,152670,50mA,45C,0.9129888769285971,0.2586206896551724,0.09319631093544134,0.09327571669477236,0.0006967922285598105
138.13,13.81,27.79,2.84,2020-07-28T18:31:30,153090,50mA,45C,0.9155005382131324,0.2586206896551724,0.09157312252964425,0.09158937605396292,0.0006967922285598105
