capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
556.46,46.37,69.94,3.02,2020-08-05T07:25:30,113130,100mA,35C,0.6676699716713881,0.3711340206185567,0.33200469176553626,0.33204633204633205,0.4214882739592632
537.18,44.76,69.94,3.02,2020-08-05T08:22:00,116520,100mA,35C,0.6876770538243625,0.3711340206185567,0.3119920281505931,0.31199402167144097,0.4214882739592632
448.09,37.33,69.94,2.98,2020-08-05T12:43:00,132180,100mA,35C,0.780099150141643,0.35051546391752586,0.2195164990294688,0.2194544775189936,0.4214882739592632
447.74,37.31,69.94,3.0,2020-08-05T12:44:00,132240,100mA,35C,0.7804532577903682,0.3608247422680413,0.21915319860077437,0.2192053804957031,0.4214882739592632
420.78,35.06,69.94,3.0,2020-08-05T14:03:00,136980,100mA,35C,0.80842776203966,0.3608247422680413,0.19116868557904892,0.1911819653755138,0.4214882739592632
420.09,35.0,69.94,2.98,2020-08-05T14:05:00,137100,100mA,35C,0.8091359773371104,0.35051546391752586,0.19045246473390837,0.19043467430564204,0.4214882739592632
418.39,34.86,69.94,2.98,2020-08-05T14:10:00,137400,100mA,35C,0.8109065155807365,0.35051546391752586,0.18868786265167792,0.188690995142608,0.4214882739592632
329.46,27.45,69.94,3.0,2020-08-05T18:30:30,153030,100mA,35C,0.9031515580736543,0.3608247422680413,0.09637841372652817,0.09640054801345121,0.4214882739592632
329.12,27.42,69.94,3.0,2020-08-05T18:31:30,153090,100mA,35C,0.9035056657223796,0.3608247422680413,0.09602549331008209,0.09602690247851536,0.4214882739592632
328.95,27.41,69.94,3.0,2020-08-05T18:32:00,153120,100mA,35C,0.9036827195467422,0.3608247422680413,0.09584903310185905,0.09590235396687008,0.4214882739592632
