capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
223.98,22.4,48.12,2.66,2020-07-10T14:31:30,138690,100mA,5C,0.8293864370290636,0.18103448275862077,0.18206060606060603,0.1821247892074199,0.0008415182809364038
959.21,95.92,48.12,4.06,2020-07-29T01:59:30,7170,50mA,5C,0.04287764621456763,0.7844827586206897,0.9570065876152832,0.9569983136593593,0.0008415182809364038
959.04,95.9,48.12,4.08,2020-07-29T02:00:00,7200,50mA,5C,0.04305705059203445,0.7931034482758623,0.9568274044795783,0.9567875210792581,0.0008415182809364038
955.29,95.53,48.12,4.02,2020-07-29T02:11:00,7860,50mA,5C,0.04700394689630427,0.7672413793103448,0.9528748353096178,0.9528878583473862,0.0008415182809364038
