capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
907.51,90.75,26.95,3.84,2020-07-17T04:31:00,16260,30mA,45C,0.09723717258701113,0.6896551724137931,0.9025138339920948,0.902508431703204,0.0006908124015063753
799.82,79.98,26.95,3.82,2020-07-17T09:46:30,35190,30mA,45C,0.21044133476856836,0.6810344827586208,0.7890065876152833,0.7889966273187184,0.0006908124015063753
799.65,79.96,26.95,3.82,2020-07-17T09:47:00,35220,30mA,45C,0.21062073914603516,0.6810344827586208,0.7888274044795783,0.7887858347386172,0.0006908124015063753
799.14,79.91,26.95,3.82,2020-07-17T09:48:30,35310,30mA,45C,0.2111589522784356,0.6810344827586208,0.7882898550724637,0.7882588532883642,0.0006908124015063753
798.8,79.88,26.95,3.82,2020-07-17T09:49:30,35370,30mA,45C,0.21151776103336922,0.6810344827586208,0.7879314888010539,0.7879426644182125,0.0006908124015063753
798.63,79.86,26.95,3.82,2020-07-17T09:50:00,35400,30mA,45C,0.21169716541083602,0.6810344827586208,0.7877523056653492,0.7877318718381113,0.0006908124015063753
798.46,79.84,26.95,3.82,2020-07-17T09:50:30,35430,30mA,45C,0.21187656978830283,0.6810344827586208,0.7875731225296443,0.7875210792580102,0.0006908124015063753
797.6,79.76,26.95,3.82,2020-07-17T09:53:00,35580,30mA,45C,0.2127735916756369,0.6810344827586208,0.7866666666666666,0.7866779089376055,0.0006908124015063753
797.43,79.74,26.95,3.82,2020-07-17T09:53:30,35610,30mA,45C,0.2129529960531037,0.6810344827586208,0.7864874835309618,0.7864671163575042,0.0006908124015063753
797.09,79.71,26.95,3.82,2020-07-17T09:54:30,35670,30mA,45C,0.21331180480803733,0.6810344827586208,0.786129117259552,0.7861509274873524,0.0006908124015063753
796.92,79.69,26.95,3.82,2020-07-17T09:55:00,35700,30mA,45C,0.21349120918550413,0.6810344827586208,0.7859499341238471,0.7859401349072512,0.0006908124015063753
796.75,79.67,26.95,3.82,2020-07-17T09:55:30,35730,30mA,45C,0.21367061356297093,0.6810344827586208,0.7857707509881423,0.7857293423271501,0.0006908124015063753
796.07,79.6,26.95,3.82,2020-07-17T09:57:30,35850,30mA,45C,0.2143882310728382,0.6810344827586208,0.7850540184453229,0.784991568296796,0.0006908124015063753
795.04,79.5,26.95,3.8,2020-07-17T10:00:30,36030,30mA,45C,0.21546465733763903,0.6724137931034484,0.7839683794466402,0.7839376053962901,0.0006908124015063753
794.87,79.49,26.95,3.82,2020-07-17T10:01:00,36060,30mA,45C,0.21564406171510586,0.6810344827586208,0.7837891963109355,0.7838322091062394,0.0006908124015063753
794.19,79.42,26.95,3.82,2020-07-17T10:03:00,36180,30mA,45C,0.2163616792249731,0.6810344827586208,0.783072463768116,0.7830944350758854,0.0006908124015063753
793.85,79.38,26.95,3.8,2020-07-17T10:04:00,36240,30mA,45C,0.2167204879799067,0.6724137931034484,0.7827140974967062,0.782672849915683,0.0006908124015063753
793.68,79.37,26.95,3.8,2020-07-17T10:04:30,36270,30mA,45C,0.21689989235737353,0.6724137931034484,0.7825349143610012,0.7825674536256324,0.0006908124015063753
793.34,79.33,26.95,3.8,2020-07-17T10:05:30,36330,30mA,45C,0.21725870111230713,0.6724137931034484,0.7821765480895916,0.78214586846543,0.0006908124015063753
792.66,79.26,26.95,3.82,2020-07-17T10:07:30,36450,30mA,45C,0.2179763186221744,0.6810344827586208,0.781459815546772,0.781408094435076,0.0006908124015063753
792.48,79.25,26.95,3.82,2020-07-17T10:08:00,36480,30mA,45C,0.2181557229996412,0.6810344827586208,0.7812700922266139,0.7813026981450253,0.0006908124015063753
791.63,79.16,26.95,3.82,2020-07-17T10:10:30,36630,30mA,45C,0.21905274488697524,0.6810344827586208,0.7803741765480896,0.78035413153457,0.0006908124015063753
784.98,78.5,26.95,3.82,2020-07-17T10:30:00,37800,30mA,45C,0.22604951560818085,0.6810344827586208,0.773364953886693,0.773397976391231,0.0006908124015063753
784.63,78.46,26.95,3.82,2020-07-17T10:31:00,37860,30mA,45C,0.22640832436311448,0.6810344827586208,0.7729960474308301,0.7729763912310286,0.0006908124015063753
