capacity,soc,current,final_voltage,timestamp_str,timestamp_num,currents,temperature,timestamp_num_norm,final_voltage_norm,capacity_norm,soc_norm,current_norm
900.68,81.87,47.32,3.72,2020-06-27T09:44:00,35040,50mA,45C,0.17028721387957427,0.6274509803921566,0.8141486475146157,0.829653293244386,0.12542165685026305
899.99,81.81,47.32,3.72,2020-06-27T09:46:00,35160,50mA,45C,0.17087038926957282,0.6274509803921566,0.8135052728747657,0.8290895424222493,0.12542165685026305
899.82,81.8,47.32,3.72,2020-06-27T09:46:30,35190,50mA,45C,0.17101618311707245,0.6274509803921566,0.8133467602823389,0.8289955839518932,0.12542165685026305
898.8,81.7,47.32,3.72,2020-06-27T09:49:30,35370,50mA,45C,0.17189094620207027,0.6274509803921566,0.8123956847277778,0.8280559992483322,0.12542165685026305
897.77,81.61,47.32,3.72,2020-06-27T09:52:30,35550,50mA,45C,0.17276570928706808,0.6274509803921566,0.8114352849030741,0.8272103730151272,0.12542165685026305
897.6,81.6,47.32,3.72,2020-06-27T09:53:00,35580,50mA,45C,0.1729115031345677,0.6274509803921566,0.8112767723106473,0.8271164145447711,0.12542165685026305
897.43,81.58,47.32,3.72,2020-06-27T09:53:30,35610,50mA,45C,0.17305729698206734,0.6274509803921566,0.8111182597182205,0.826928497604059,0.12542165685026305
897.26,81.56,47.32,3.72,2020-06-27T09:54:00,35640,50mA,45C,0.17320309082956697,0.6274509803921566,0.8109597471257937,0.8267405806633468,0.12542165685026305
896.92,81.53,47.32,3.72,2020-06-27T09:55:00,35700,50mA,45C,0.17349467852456626,0.6274509803921566,0.81064272194094,0.8264587052522785,0.12542165685026305
896.75,81.52,47.32,3.72,2020-06-27T09:55:30,35730,50mA,45C,0.1736404723720659,0.6274509803921566,0.8104842093485132,0.8263647467819223,0.12542165685026305
896.41,81.49,47.32,3.72,2020-06-27T09:56:30,35790,50mA,45C,0.17393206006706516,0.6274509803921566,0.8101671841636595,0.826082871370854,0.12542165685026305
896.07,81.46,47.32,3.72,2020-06-27T09:57:30,35850,50mA,45C,0.17422364776206442,0.6274509803921566,0.809850158978806,0.8258009959597856,0.12542165685026305
895.56,81.41,47.32,3.72,2020-06-27T09:59:00,35940,50mA,45C,0.17466102930456334,0.6274509803921566,0.8093746212015254,0.8253312036080052,0.12542165685026305
894.7,81.33,47.32,3.72,2020-06-27T10:01:30,36090,50mA,45C,0.17538999854206153,0.6274509803921566,0.8085727339692486,0.8245795358451563,0.12542165685026305
894.19,81.29,47.32,3.72,2020-06-27T10:03:00,36180,50mA,45C,0.17582738008456042,0.6274509803921566,0.8080971961919681,0.824203701963732,0.12542165685026305
893.85,81.25,47.32,3.72,2020-06-27T10:04:00,36240,50mA,45C,0.17611896777955968,0.6274509803921566,0.8077801710071144,0.8238278680823076,0.12542165685026305
893.51,81.22,47.32,3.72,2020-06-27T10:05:00,36300,50mA,45C,0.17641055547455897,0.6274509803921566,0.8074631458222608,0.8235459926712392,0.12542165685026305
893.34,81.21,47.32,3.72,2020-06-27T10:05:30,36330,50mA,45C,0.1765563493220586,0.6274509803921566,0.8073046332298339,0.8234520342008831,0.12542165685026305
892.83,81.16,47.32,3.72,2020-06-27T10:07:00,36420,50mA,45C,0.1769937308645575,0.6274509803921566,0.8068290954525534,0.8229822418491026,0.12542165685026305
891.46,81.04,47.32,3.72,2020-06-27T10:11:00,36660,50mA,45C,0.1781600816445546,0.6274509803921566,0.805551670442996,0.8218547402048294,0.12542165685026305
