epoch,loss,mae,val_loss,val_mae
0,0.008038344793021679,0.45562544465065,0.0003956747823394835,0.6698999404907227
1,0.0010034373262897134,0.45985960960388184,3.513482442940585e-05,0.6813977956771851
2,0.0006129957037046552,0.46033838391304016,0.00015183926734607667,0.6733328104019165
3,0.0005519743426702917,0.46052220463752747,7.992209430085495e-05,0.6762296557426453
4,0.000523749680723995,0.46093955636024475,1.759180668159388e-05,0.6851793527603149
5,0.0005136703257448971,0.4605616331100464,5.018742740503512e-05,0.6803867220878601
6,0.0005207316135056317,0.46055299043655396,8.268412784673274e-05,0.6795705556869507
7,0.0005047059967182577,0.46061214804649353,7.91303173173219e-05,0.679630696773529
8,0.0005121274152770638,0.4605480432510376,4.2304349335609004e-05,0.6858727335929871
9,0.000507463002577424,0.4605208933353424,0.0001077963097486645,0.6785148978233337
10,0.0005010452005080879,0.46054792404174805,1.2229934327478986e-05,0.6848365068435669
11,0.00050482148071751,0.46078282594680786,8.826737757772207e-05,0.6825348138809204
12,0.0005006319261156023,0.4606064558029175,1.5188081306405365e-05,0.6806113123893738
13,0.0004922965890727937,0.46067288517951965,2.5294366423622705e-05,0.6794494986534119
14,0.0005100153503008187,0.46030792593955994,1.283681922359392e-05,0.685986340045929
15,0.0005037406808696687,0.4607993960380554,5.1119310228386894e-05,0.6859915852546692
16,0.000505247269757092,0.46054190397262573,2.925284206867218e-05,0.6792464256286621
17,0.0004960477235727012,0.46047139167785645,0.00015399837866425514,0.675048291683197
18,0.0005043328274041414,0.4605523645877838,1.819857061491348e-05,0.6813753247261047
19,0.000502375653013587,0.4607212543487549,3.943845149478875e-05,0.689283549785614
20,0.0005016349023208022,0.4606391191482544,4.439033364178613e-05,0.6899723410606384
