capacity,soc,current,half_voltage,final_voltage
1174.23,97.85,41.67,1.88,3.76
1174.06,97.84,41.67,1.88,3.76
1173.89,97.82,41.7,1.88,3.76
1173.72,97.81,41.7,1.88,3.76
1173.55,97.8,41.69,1.88,3.76
1173.38,97.78,41.71,1.88,3.76
1173.21,97.77,41.7,1.88,3.76
1173.04,97.75,41.68,1.88,3.76
1172.87,97.74,41.68,1.88,3.76
1172.7,97.72,41.69,1.88,3.76
1172.52,97.71,41.66,1.88,3.76
1172.35,97.7,41.67,1.88,3.76
1172.18,97.68,41.67,1.88,3.76
1172.01,97.67,41.63,1.88,3.76
1171.84,97.65,41.62,1.88,3.76
1171.67,97.64,41.6,1.88,3.76
1171.5,97.63,41.6,1.88,3.76
1171.33,97.61,41.59,1.88,3.76
1171.16,97.6,41.57,1.88,3.76
1170.99,97.58,41.55,1.88,3.76
1170.82,97.57,41.57,1.88,3.76
1170.65,97.55,41.55,1.88,3.76
1170.48,97.54,41.52,1.88,3.76
1170.31,97.53,41.53,1.88,3.76
1170.14,97.51,41.52,1.88,3.76
1169.96,97.5,41.5,1.88,3.76
1169.79,97.48,41.51,1.88,3.76
1169.62,97.47,41.52,1.87,3.74
1169.45,97.45,41.51,1.88,3.76
1169.28,97.44,41.52,1.87,3.74
1169.11,97.43,41.53,1.87,3.74
1168.94,97.41,41.53,1.87,3.74
1168.77,97.4,41.5,1.87,3.74
1168.6,97.38,41.47,1.87,3.74
1168.43,97.37,41.49,1.87,3.74
1168.26,97.35,41.47,1.87,3.74
1168.09,97.34,41.48,1.87,3.74
1167.92,97.33,41.47,1.87,3.74
1167.75,97.31,41.46,1.87,3.74
1167.58,97.3,41.44,1.87,3.74
1167.41,97.28,41.44,1.87,3.74
1167.23,97.27,41.43,1.87,3.74
1167.06,97.26,41.44,1.87,3.74
1166.89,97.24,41.46,1.87,3.74
1166.72,97.23,41.45,1.87,3.74
1166.55,97.21,41.42,1.87,3.74
1166.38,97.2,41.43,1.87,3.74
1166.21,97.18,41.41,1.87,3.74
1166.04,97.17,41.42,1.87,3.74
1165.87,97.16,41.42,1.87,3.74
1165.7,97.14,41.43,1.87,3.74
1165.53,97.13,41.42,1.87,3.74
1165.36,97.11,41.41,1.87,3.74
1165.19,97.1,41.43,1.87,3.74
1165.02,97.08,41.42,1.87,3.74
1164.85,97.07,41.4,1.87,3.74
1164.67,97.06,41.37,1.87,3.74
1164.5,97.04,41.37,1.87,3.74
1164.33,97.03,41.36,1.87,3.74
1164.16,97.01,41.35,1.87,3.74
1163.99,97,41.33,1.87,3.74
1163.82,96.99,41.34,1.87,3.74
1163.65,96.97,41.35,1.87,3.74
1163.48,96.96,41.36,1.87,3.74
1163.31,96.94,41.36,1.87,3.74
1163.14,96.93,41.37,1.87,3.74
1162.97,96.91,41.39,1.87,3.74
1162.8,96.9,41.39,1.87,3.74
1162.63,96.89,41.37,1.87,3.74
1162.46,96.87,41.34,1.87,3.74
1162.29,96.86,41.35,1.87,3.74
1162.11,96.84,41.31,1.87,3.74
1161.94,96.83,41.27,1.87,3.74
1161.77,96.81,41.26,1.86,3.72
1161.6,96.8,41.28,1.87,3.74
1161.43,96.79,41.22,1.86,3.72
1161.26,96.77,41.28,1.87,3.74
1161.09,96.76,41.29,1.86,3.72
1160.92,96.74,41.29,1.86,3.72
1160.75,96.73,41.31,1.86,3.72
1160.58,96.71,41.29,1.86,3.72
1160.41,96.7,41.3,1.86,3.72
1160.24,96.69,41.28,1.86,3.72
1160.07,96.67,41.29,1.86,3.72
1159.9,96.66,41.27,1.86,3.72
1159.73,96.64,41.27,1.86,3.72
1159.55,96.63,41.27,1.86,3.72
1159.38,96.62,41.28,1.86,3.72
1159.21,96.6,41.25,1.86,3.72
1159.04,96.59,41.23,1.86,3.72
1158.87,96.57,41.23,1.86,3.72
1158.7,96.56,41.22,1.86,3.72
1158.53,96.54,41.23,1.86,3.72
1158.36,96.53,41.24,1.86,3.72
1158.19,96.52,41.23,1.86,3.72
1158.02,96.5,41.24,1.86,3.72
1157.85,96.49,41.22,1.86,3.72
1157.68,96.47,41.24,1.86,3.72
1157.51,96.46,41.24,1.86,3.72
1157.34,96.44,41.24,1.86,3.72
1157.17,96.43,41.24,1.86,3.72
1157,96.42,41.23,1.86,3.72
1156.82,96.4,41.2,1.86,3.72
1156.65,96.39,41.19,1.86,3.72
1156.48,96.37,41.18,1.86,3.72
1156.31,96.36,41.17,1.86,3.72
1156.14,96.35,41.19,1.86,3.72
1155.97,96.33,41.2,1.86,3.72
1155.8,96.32,41.19,1.86,3.72
1155.63,96.3,41.18,1.86,3.72
1155.46,96.29,41.18,1.86,3.72
1155.29,96.27,41.16,1.86,3.72
1155.12,96.26,41.16,1.86,3.72
1154.95,96.25,41.14,1.86,3.72
1154.78,96.23,41.14,1.86,3.72
1154.61,96.22,41.13,1.86,3.72
1154.44,96.2,41.13,1.86,3.72
1154.26,96.19,41.13,1.86,3.72
1154.09,96.17,41.1,1.86,3.72
1153.92,96.16,41.09,1.86,3.72
1153.75,96.15,41.09,1.86,3.72
1153.58,96.13,41.1,1.86,3.72
1153.41,96.12,41.09,1.86,3.72
1153.24,96.1,41.09,1.86,3.72
1153.07,96.09,41.08,1.86,3.72
1152.9,96.07,41.08,1.86,3.72
1152.73,96.06,41.1,1.86,3.72
1152.56,96.05,41.08,1.86,3.72
1152.39,96.03,41.06,1.86,3.72
1152.22,96.02,41.06,1.86,3.72
1152.05,96,41.04,1.86,3.72
1151.88,95.99,41.04,1.85,3.7
1151.7,95.98,41.04,1.85,3.7
1151.53,95.96,41.04,1.85,3.7
1151.36,95.95,41.04,1.85,3.7
1151.19,95.93,41.02,1.85,3.7
1151.02,95.92,41.02,1.85,3.7
1150.85,95.9,41,1.85,3.7
1150.68,95.89,41,1.85,3.7
1150.51,95.88,41,1.85,3.7
1150.34,95.86,41,1.85,3.7
1150.17,95.85,40.99,1.85,3.7
1150,95.83,41,1.85,3.7
1149.83,95.82,40.99,1.85,3.7
1149.66,95.8,40.99,1.85,3.7
1149.49,95.79,41.03,1.85,3.7
1149.32,95.78,40.95,1.85,3.7
1149.15,95.76,40.92,1.85,3.7
1148.97,95.75,40.93,1.85,3.7
1148.8,95.73,40.93,1.85,3.7
1148.63,95.72,40.95,1.85,3.7
1148.46,95.71,40.92,1.85,3.7
1148.29,95.69,41.03,1.85,3.7
1148.12,95.68,41.02,1.85,3.7
1147.95,95.66,40.98,1.85,3.7
1147.78,95.65,40.99,1.85,3.7
1147.61,95.63,40.99,1.85,3.7
1147.44,95.62,40.94,1.85,3.7
1147.27,95.61,40.94,1.85,3.7
1147.1,95.59,40.94,1.85,3.7
1146.93,95.58,40.92,1.85,3.7
1146.76,95.56,40.91,1.85,3.7
1146.59,95.55,40.91,1.85,3.7
1146.41,95.53,40.91,1.85,3.7
1146.24,95.52,40.9,1.85,3.7
1146.07,95.51,40.9,1.85,3.7
1145.9,95.49,40.87,1.85,3.7
1145.73,95.48,40.89,1.85,3.7
1145.56,95.46,40.88,1.85,3.7
1145.39,95.45,40.88,1.85,3.7
1145.22,95.43,40.86,1.85,3.7
1145.05,95.42,40.87,1.85,3.7
1144.88,95.41,40.87,1.85,3.7
1144.71,95.39,40.86,1.85,3.7
1144.54,95.38,40.83,1.85,3.7
1144.37,95.36,40.85,1.85,3.7
1144.2,95.35,40.87,1.85,3.7
1144.03,95.34,40.86,1.85,3.7
1143.85,95.32,40.86,1.85,3.7
1143.68,95.31,40.86,1.85,3.7
1143.51,95.29,40.85,1.85,3.7
1143.34,95.28,40.83,1.85,3.7
1143.17,95.26,40.83,1.85,3.7
1143,95.25,40.84,1.85,3.7
1142.83,95.24,40.84,1.85,3.7
1142.66,95.22,40.82,1.85,3.7
1142.49,95.21,40.82,1.85,3.7
1142.32,95.19,40.81,1.85,3.7
1142.15,95.18,40.82,1.85,3.7
1141.98,95.16,40.8,1.85,3.7
1141.81,95.15,40.8,1.85,3.7
1141.64,95.14,40.79,1.85,3.7
1141.47,95.12,40.79,1.85,3.7
1141.29,95.11,40.77,1.85,3.7
1141.12,95.09,40.78,1.85,3.7
1140.95,95.08,40.74,1.85,3.7
1140.78,95.07,40.78,1.85,3.7
1140.61,95.05,40.76,1.85,3.7
1140.44,95.04,40.75,1.85,3.7
1140.27,95.02,40.77,1.85,3.7
1140.1,95.01,40.75,1.85,3.7
1139.93,94.99,40.74,1.85,3.7
1139.76,94.98,40.76,1.85,3.7
1139.59,94.97,40.74,1.85,3.7
1139.42,94.95,40.75,1.85,3.7
1139.25,94.94,40.74,1.85,3.7
1139.08,94.92,40.73,1.85,3.7
1138.91,94.91,40.71,1.85,3.7
1138.74,94.89,40.71,1.85,3.7
1138.56,94.88,40.71,1.85,3.7
1138.39,94.87,40.72,1.85,3.7
1138.22,94.85,40.71,1.85,3.7
1138.05,94.84,40.7,1.85,3.7
1137.88,94.82,40.72,1.85,3.7
1137.71,94.81,40.71,1.85,3.7
1137.54,94.8,40.69,1.85,3.7
1137.37,94.78,40.69,1.85,3.7
1137.2,94.77,40.67,1.85,3.7
1137.03,94.75,40.66,1.85,3.7
1136.86,94.74,40.67,1.85,3.7
1136.69,94.72,40.66,1.85,3.7
1136.52,94.71,40.64,1.85,3.7
1136.35,94.7,40.64,1.85,3.7
1136.18,94.68,40.65,1.85,3.7
1136,94.67,40.66,1.84,3.68
1135.83,94.65,40.64,1.85,3.7
1135.66,94.64,40.63,1.85,3.7
1135.49,94.62,40.64,1.84,3.68
1135.32,94.61,40.63,1.84,3.68
1135.15,94.6,40.64,1.84,3.68
1134.98,94.58,40.62,1.84,3.68
1134.81,94.57,40.66,1.84,3.68
1134.64,94.55,40.64,1.84,3.68
1134.47,94.54,40.62,1.85,3.7
1134.3,94.52,40.62,1.84,3.68
1134.13,94.51,40.62,1.85,3.7
1133.96,94.5,40.61,1.84,3.68
1133.79,94.48,40.61,1.84,3.68
1133.62,94.47,40.61,1.84,3.68
1133.44,94.45,40.61,1.84,3.68
1133.27,94.44,40.6,1.84,3.68
1133.1,94.43,40.58,1.84,3.68
1132.93,94.41,40.57,1.84,3.68
1132.76,94.4,40.57,1.84,3.68
1132.59,94.38,40.58,1.84,3.68
1132.42,94.37,40.57,1.84,3.68
1132.25,94.35,40.57,1.84,3.68
1132.08,94.34,40.58,1.84,3.68
1131.91,94.33,40.56,1.84,3.68
1131.74,94.31,40.56,1.84,3.68
1131.57,94.3,40.56,1.84,3.68
1131.4,94.28,40.58,1.84,3.68
1131.23,94.27,40.57,1.84,3.68
1131.06,94.25,40.56,1.84,3.68
1130.89,94.24,40.57,1.84,3.68
1130.71,94.23,40.55,1.84,3.68
1130.54,94.21,40.55,1.84,3.68
1130.37,94.2,40.55,1.84,3.68
1130.2,94.18,40.53,1.84,3.68
1130.03,94.17,40.55,1.84,3.68
1129.86,94.16,40.55,1.84,3.68
1129.69,94.14,40.55,1.84,3.68
1129.52,94.13,40.53,1.84,3.68
1129.35,94.11,40.53,1.84,3.68
1129.18,94.1,40.53,1.84,3.68
1129.01,94.08,40.51,1.84,3.68
1128.84,94.07,40.51,1.84,3.68
1128.67,94.06,40.51,1.84,3.68
1128.5,94.04,40.51,1.84,3.68
1128.33,94.03,40.5,1.84,3.68
1128.15,94.01,40.5,1.84,3.68
1127.98,94,40.51,1.84,3.68
1127.81,93.98,40.52,1.84,3.68
1127.64,93.97,40.52,1.84,3.68
1127.47,93.96,40.51,1.84,3.68
1127.3,93.94,40.5,1.84,3.68
1127.13,93.93,40.5,1.84,3.68
1126.96,93.91,40.5,1.84,3.68
1126.79,93.9,40.47,1.84,3.68
1126.62,93.88,40.46,1.84,3.68
1126.45,93.87,40.48,1.84,3.68
1126.28,93.86,40.47,1.84,3.68
1126.11,93.84,40.46,1.84,3.68
1125.94,93.83,40.45,1.84,3.68
1125.77,93.81,40.42,1.84,3.68
1125.59,93.8,40.45,1.84,3.68
1125.42,93.79,40.44,1.84,3.68
1125.25,93.77,40.41,1.84,3.68
1125.08,93.76,40.4,1.84,3.68
1124.91,93.74,40.41,1.84,3.68
1124.74,93.73,40.42,1.84,3.68
1124.57,93.71,40.41,1.84,3.68
1124.4,93.7,40.41,1.84,3.68
1124.23,93.69,40.4,1.84,3.68
1124.06,93.67,40.39,1.84,3.68
1123.89,93.66,40.39,1.84,3.68
1123.72,93.64,40.38,1.84,3.68
1123.55,93.63,40.4,1.84,3.68
1123.38,93.61,40.43,1.84,3.68
1123.21,93.6,40.43,1.84,3.68
1123.03,93.59,40.42,1.84,3.68
1122.86,93.57,40.42,1.84,3.68
1122.69,93.56,40.4,1.84,3.68
1122.52,93.54,40.38,1.84,3.68
1122.35,93.53,40.38,1.83,3.66
1122.18,93.52,40.38,1.84,3.68
1122.01,93.5,40.37,1.84,3.68
1121.84,93.49,40.37,1.84,3.68
1121.67,93.47,40.35,1.84,3.68
1121.5,93.46,40.36,1.84,3.68
1121.33,93.44,40.35,1.83,3.66
1121.16,93.43,40.38,1.83,3.66
1120.99,93.42,40.36,1.84,3.68
1120.82,93.4,40.4,1.84,3.68
1120.65,93.39,40.39,1.83,3.66
1120.48,93.37,40.38,1.83,3.66
1120.3,93.36,40.38,1.83,3.66
1120.13,93.34,40.38,1.83,3.66
1119.96,93.33,40.39,1.83,3.66
1119.79,93.32,40.39,1.83,3.66
1119.62,93.3,40.37,1.83,3.66
1119.45,93.29,40.39,1.83,3.66
1119.28,93.27,40.36,1.83,3.66
