capacity,soc,current,half_voltage,final_voltage
1000,100,81.55,2.02,4.04
999.83,99.98,80.59,1.99,3.98
999.66,99.97,80.58,2.01,4.02
999.49,99.95,80.9,2,4
999.32,99.93,81.24,2,4
999.15,99.91,81.43,1.98,3.96
998.98,99.9,81.83,1.99,3.98
998.81,99.88,81.85,1.99,3.98
998.63,99.86,81.55,2,4
998.46,99.85,81.76,2,4
998.29,99.83,82.79,1.97,3.94
998.12,99.81,83.18,1.96,3.92
997.95,99.8,83.31,1.96,3.92
997.78,99.78,83.39,1.96,3.92
997.61,99.76,83.46,1.96,3.92
997.44,99.74,83.67,1.96,3.92
997.27,99.73,83.76,1.96,3.92
997.1,99.71,83.79,1.96,3.92
996.93,99.69,83.8,1.96,3.92
996.76,99.68,83.81,1.96,3.92
996.59,99.66,83.84,1.96,3.92
996.42,99.64,83.84,1.95,3.9
996.25,99.62,83.84,1.95,3.9
996.07,99.61,83.83,1.95,3.9
995.9,99.59,83.77,1.95,3.9
995.73,99.57,83.76,1.95,3.9
995.56,99.56,83.81,1.95,3.9
995.39,99.54,83.89,1.95,3.9
995.22,99.52,83.99,1.95,3.9
995.05,99.51,83.98,1.95,3.9
994.88,99.49,84.01,1.95,3.9
994.71,99.47,83.96,1.95,3.9
994.54,99.45,83.94,1.95,3.9
994.37,99.44,83.93,1.95,3.9
994.2,99.42,83.99,1.95,3.9
994.03,99.4,84.1,1.95,3.9
993.86,99.39,84.19,1.94,3.88
993.69,99.37,84.4,1.95,3.9
993.52,99.35,84.4,1.95,3.9
993.34,99.33,84.44,1.95,3.9
993.17,99.32,84.44,1.95,3.9
993,99.3,84.47,1.95,3.9
992.83,99.28,84.46,1.95,3.9
992.66,99.27,84.48,1.95,3.9
992.49,99.25,84.47,1.95,3.9
992.32,99.23,84.44,1.95,3.9
992.15,99.21,84.45,1.94,3.88
991.98,99.2,84.44,1.94,3.88
991.81,99.18,84.5,1.94,3.88
991.64,99.16,84.56,1.94,3.88
991.47,99.15,84.51,1.94,3.88
