capacity,soc,current,half_voltage,final_voltage
970.99,97.1,88.4,2.11,4.22
970.82,97.08,88.41,2.11,4.22
970.65,97.06,88.42,2.12,4.24
970.48,97.05,88.39,2.11,4.22
970.31,97.03,88.25,2.11,4.22
970.14,97.01,88.2,2.11,4.22
969.96,97,88.16,2.12,4.24
969.79,96.98,88.13,2.12,4.24
969.62,96.96,88.1,2.11,4.22
969.45,96.95,88.12,2.12,4.24
969.28,96.93,88.15,2.12,4.24
969.11,96.91,88.16,2.12,4.24
968.94,96.89,88.13,2.12,4.24
968.77,96.88,88.1,2.12,4.24
968.6,96.86,88.07,2.12,4.24
968.43,96.84,88.08,2.12,4.24
968.26,96.83,88.08,2.12,4.24
968.09,96.81,88.15,2.12,4.24
967.92,96.79,88.17,2.12,4.24
967.75,96.77,88.24,2.12,4.24
967.58,96.76,88.21,2.12,4.24
967.41,96.74,88.25,2.13,4.26
967.23,96.72,88.23,2.13,4.26
967.06,96.71,88.24,2.13,4.26
966.89,96.69,88.23,2.13,4.26
966.72,96.67,88.21,2.13,4.26
966.55,96.65,88.16,2.13,4.26
966.38,96.64,88.15,2.13,4.26
966.21,96.62,88.1,2.14,4.28
966.04,96.6,88.1,2.13,4.26
965.87,96.59,88.07,2.13,4.26
965.7,96.57,88.04,2.13,4.26
965.53,96.55,88.04,2.13,4.26
965.36,96.54,88.04,2.13,4.26
965.19,96.52,88.05,2.14,4.28
965.02,96.5,88.15,2.14,4.28
964.85,96.48,88.12,2.13,4.26
964.67,96.47,88.18,2.13,4.26
964.5,96.45,88.22,2.14,4.28
964.33,96.43,88.21,2.14,4.28
964.16,96.42,88.22,2.14,4.28
963.99,96.4,88.23,2.13,4.26
963.82,96.38,88.23,2.13,4.26
963.65,96.36,88.28,2.13,4.26
963.48,96.35,88.31,2.13,4.26
963.31,96.33,88.31,2.14,4.28
963.14,96.31,88.36,2.13,4.26
962.97,96.3,88.35,2.13,4.26
962.8,96.28,88.33,2.13,4.26
962.63,96.26,88.34,2.13,4.26
962.46,96.25,88.39,2.13,4.26
962.29,96.23,88.47,2.13,4.26
962.11,96.21,88.49,2.13,4.26
961.94,96.19,88.57,2.13,4.26
961.77,96.18,88.58,2.13,4.26
961.6,96.16,88.53,2.13,4.26
961.43,96.14,88.53,2.13,4.26
961.26,96.13,88.58,2.13,4.26
961.09,96.11,88.65,2.14,4.28
960.92,96.09,88.61,2.13,4.26
960.75,96.07,88.68,2.13,4.26
960.58,96.06,88.64,2.14,4.28
960.41,96.04,88.65,2.14,4.28
960.24,96.02,88.6,2.14,4.28
960.07,96.01,88.62,2.14,4.28
959.9,95.99,88.61,2.14,4.28
959.73,95.97,88.59,2.14,4.28
959.55,95.96,88.56,2.14,4.28
959.38,95.94,88.57,2.14,4.28
959.21,95.92,88.53,2.14,4.28
959.04,95.9,88.5,2.14,4.28
958.87,95.89,88.52,2.14,4.28
958.7,95.87,88.54,2.15,4.3
958.53,95.85,88.54,2.12,4.24
958.36,95.84,88.54,2.16,4.32
958.19,95.82,88.52,2.16,4.32
958.02,95.8,88.53,2.16,4.32
957.85,95.78,88.52,2.13,4.26
957.68,95.77,88.56,2.14,4.28
957.51,95.75,88.52,2.13,4.26
957.34,95.73,88.52,2.11,4.22
957.17,95.72,88.53,2.02,4.04
957,95.7,88.56,2.02,4.04
956.82,95.68,88.6,2.02,4.04
956.65,95.66,88.58,2.02,4.04
956.48,95.65,88.51,2.02,4.04
956.31,95.63,88.53,2.01,4.02
956.14,95.61,88.5,2.01,4.02
955.97,95.6,88.48,2.01,4.02
955.8,95.58,88.46,2.01,4.02
955.63,95.56,88.39,2.01,4.02
955.46,95.55,88.45,2.01,4.02
955.29,95.53,88.45,2.01,4.02
955.12,95.51,88.46,2.01,4.02
954.95,95.49,88.4,2.02,4.04
954.78,95.48,88.4,2.02,4.04
954.61,95.46,88.36,2.02,4.04
954.44,95.44,88.33,2.02,4.04
954.26,95.43,88.34,2.02,4.04
954.09,95.41,88.29,2.02,4.04
953.92,95.39,88.31,2.02,4.04
953.75,95.37,88.27,2.02,4.04
953.58,95.36,88.23,2.02,4.04
953.41,95.34,88.21,2.02,4.04
953.24,95.32,88.17,2.02,4.04
953.07,95.31,88.14,2.03,4.06
952.9,95.29,88.09,2.03,4.06
952.73,95.27,88.1,2.03,4.06
952.56,95.26,88.06,2.03,4.06
952.39,95.24,88.04,2.03,4.06
952.22,95.22,88.03,2.04,4.08
952.05,95.2,87.96,2.03,4.06
951.88,95.19,87.99,2.04,4.08
951.7,95.17,88,2.03,4.06
951.53,95.15,88.01,2.03,4.06
951.36,95.14,88.02,2.04,4.08
951.19,95.12,88,2.04,4.08
951.02,95.1,87.98,2.04,4.08
950.85,95.08,87.95,2.05,4.1
950.68,95.07,87.99,2.03,4.06
950.51,95.05,87.96,2.03,4.06
