capacity,soc,current,half_voltage,final_voltage
1200,100,50,1.89,3.78
1199.83,99.99,50,1.89,3.78
1199.66,99.97,51.49,1.88,3.76
1199.49,99.96,50.97,1.88,3.76
1199.32,99.94,50.97,1.87,3.74
1199.15,99.93,50.97,1.87,3.74
1198.98,99.91,50.96,1.87,3.74
1198.81,99.9,50.97,1.87,3.74
1198.63,99.89,50.79,1.86,3.72
1198.46,99.87,50.74,1.86,3.72
1198.29,99.86,50.78,1.86,3.72
1198.12,99.84,50.76,1.86,3.72
1197.95,99.83,50.75,1.86,3.72
1197.78,99.82,50.73,1.86,3.72
1197.61,99.8,50.7,1.86,3.72
1197.44,99.79,50.72,1.86,3.72
1197.27,99.77,50.7,1.86,3.72
1197.1,99.76,50.7,1.86,3.72
1196.93,99.74,50.7,1.86,3.72
1196.76,99.73,50.66,1.86,3.72
1196.59,99.72,50.63,1.86,3.72
1196.42,99.7,50.62,1.86,3.72
1196.25,99.69,50.58,1.86,3.72
1196.07,99.67,50.59,1.86,3.72
1195.9,99.66,50.58,1.86,3.72
1195.73,99.64,50.56,1.86,3.72
1195.56,99.63,50.53,1.85,3.7
1195.39,99.62,50.45,1.85,3.7
1195.22,99.6,50.42,1.85,3.7
1195.05,99.59,50.44,1.85,3.7
1194.88,99.57,50.46,1.85,3.7
1194.71,99.56,50.46,1.85,3.7
1194.54,99.54,50.47,1.85,3.7
1194.37,99.53,50.48,1.85,3.7
1194.2,99.52,50.45,1.85,3.7
1194.03,99.5,50.43,1.85,3.7
1193.86,99.49,50.43,1.85,3.7
1193.69,99.47,50.44,1.85,3.7
1193.52,99.46,50.39,1.85,3.7
1193.34,99.45,50.39,1.85,3.7
1193.17,99.43,50.39,1.85,3.7
1193,99.42,50.39,1.85,3.7
1192.83,99.4,50.38,1.85,3.7
1192.66,99.39,50.38,1.85,3.7
1192.49,99.37,50.36,1.85,3.7
1192.32,99.36,50.37,1.85,3.7
1192.15,99.35,50.35,1.85,3.7
1191.98,99.33,50.33,1.85,3.7
1191.81,99.32,50.34,1.85,3.7
1191.64,99.3,50.34,1.85,3.7
1191.47,99.29,50.36,1.85,3.7
1191.3,99.27,50.34,1.85,3.7
1191.13,99.26,50.33,1.85,3.7
1190.96,99.25,50.35,1.85,3.7
1190.78,99.23,50.32,1.85,3.7
1190.61,99.22,50.31,1.85,3.7
1190.44,99.2,50.29,1.85,3.7
1190.27,99.19,50.3,1.85,3.7
1190.1,99.18,50.29,1.85,3.7
1189.93,99.16,50.28,1.85,3.7
1189.76,99.15,50.28,1.85,3.7
1189.59,99.13,50.26,1.85,3.7
1189.42,99.12,50.26,1.85,3.7
1189.25,99.1,50.23,1.85,3.7
1189.08,99.09,50.26,1.85,3.7
1188.91,99.08,50.23,1.85,3.7
1188.74,99.06,50.23,1.85,3.7
1188.57,99.05,50.23,1.85,3.7
1188.4,99.03,50.22,1.85,3.7
1188.22,99.02,50.23,1.85,3.7
1188.05,99,50.23,1.85,3.7
1187.88,98.99,50.2,1.85,3.7
1187.71,98.98,50.22,1.85,3.7
1187.54,98.96,50.17,1.85,3.7
1187.37,98.95,50.18,1.84,3.68
1187.2,98.93,50.15,1.85,3.7
1187.03,98.92,50.15,1.84,3.68
1186.86,98.9,50.16,1.85,3.7
1186.69,98.89,50.15,1.84,3.68
1186.52,98.88,50.16,1.84,3.68
1186.35,98.86,50.16,1.84,3.68
1186.18,98.85,50.14,1.84,3.68
1186.01,98.83,50.14,1.84,3.68
1185.84,98.82,50.12,1.84,3.68
1185.67,98.81,50.13,1.84,3.68
1185.49,98.79,50.09,1.84,3.68
1185.32,98.78,50.11,1.84,3.68
1185.15,98.76,50.1,1.84,3.68
1184.98,98.75,50.1,1.84,3.68
1184.81,98.73,50.09,1.84,3.68
1184.64,98.72,50.09,1.84,3.68
1184.47,98.71,50.08,1.84,3.68
1184.3,98.69,50.02,1.84,3.68
1184.13,98.68,50.04,1.84,3.68
1183.96,98.66,50.04,1.84,3.68
1183.79,98.65,50.02,1.84,3.68
1183.62,98.63,50.03,1.84,3.68
1183.45,98.62,50.04,1.84,3.68
1183.28,98.61,50.02,1.84,3.68
1183.11,98.59,50.02,1.84,3.68
1182.93,98.58,50.02,1.84,3.68
1182.76,98.56,50,1.84,3.68
1182.59,98.55,50.01,1.84,3.68
1182.42,98.54,49.98,1.84,3.68
1182.25,98.52,49.98,1.84,3.68
1182.08,98.51,49.97,1.84,3.68
1181.91,98.49,49.98,1.84,3.68
1181.74,98.48,49.96,1.84,3.68
1181.57,98.46,49.97,1.84,3.68
1181.4,98.45,49.95,1.84,3.68
1181.23,98.44,49.95,1.84,3.68
1181.06,98.42,49.95,1.84,3.68
1180.89,98.41,49.95,1.84,3.68
1180.72,98.39,49.94,1.84,3.68
1180.55,98.38,49.92,1.84,3.68
1180.37,98.36,49.92,1.84,3.68
1180.2,98.35,49.89,1.83,3.66
1180.03,98.34,49.91,1.84,3.68
1179.86,98.32,49.9,1.84,3.68
1179.69,98.31,49.88,1.83,3.66
1179.52,98.29,49.88,1.83,3.66
1179.35,98.28,49.87,1.83,3.66
1179.18,98.27,49.88,1.83,3.66
1179.01,98.25,49.87,1.83,3.66
1178.84,98.24,49.88,1.83,3.66
1178.67,98.22,49.87,1.83,3.66
1178.5,98.21,49.86,1.83,3.66
1178.33,98.19,49.86,1.83,3.66
1178.16,98.18,49.86,1.83,3.66
1177.99,98.17,49.87,1.83,3.66
1177.81,98.15,49.86,1.83,3.66
1177.64,98.14,49.84,1.83,3.66
1177.47,98.12,49.84,1.83,3.66
1177.3,98.11,49.83,1.83,3.66
1177.13,98.09,49.82,1.83,3.66
1176.96,98.08,49.83,1.83,3.66
1176.79,98.07,49.81,1.83,3.66
1176.62,98.05,49.83,1.83,3.66
1176.45,98.04,49.8,1.83,3.66
1176.28,98.02,49.76,1.83,3.66
1176.11,98.01,49.78,1.83,3.66
1175.94,97.99,49.77,1.83,3.66
1175.77,97.98,49.77,1.83,3.66
1175.6,97.97,49.77,1.83,3.66
1175.43,97.95,49.77,1.83,3.66
1175.26,97.94,49.74,1.83,3.66
1175.08,97.92,49.72,1.83,3.66
1174.91,97.91,49.73,1.83,3.66
1174.74,97.9,49.72,1.83,3.66
1174.57,97.88,49.71,1.83,3.66
1174.4,97.87,49.71,1.83,3.66
1174.23,97.85,49.7,1.83,3.66
1174.06,97.84,49.69,1.83,3.66
1173.89,97.82,49.7,1.83,3.66
1173.72,97.81,49.68,1.83,3.66
1173.55,97.8,49.69,1.83,3.66
1173.38,97.78,49.71,1.83,3.66
1173.21,97.77,49.7,1.83,3.66
1173.04,97.75,49.7,1.83,3.66
1172.87,97.74,49.68,1.83,3.66
1172.7,97.72,49.68,1.83,3.66
1172.52,97.71,49.7,1.83,3.66
1172.35,97.7,49.69,1.83,3.66
1172.18,97.68,49.7,1.83,3.66
1172.01,97.67,49.71,1.83,3.66
1171.84,97.65,49.69,1.83,3.66
1171.67,97.64,49.69,1.83,3.66
1171.5,97.63,49.67,1.83,3.66
1171.33,97.61,49.66,1.83,3.66
1171.16,97.6,49.67,1.83,3.66
1170.99,97.58,49.65,1.83,3.66
1170.82,97.57,49.65,1.83,3.66
1170.65,97.55,49.65,1.83,3.66
1170.48,97.54,49.67,1.83,3.66
1170.31,97.53,49.62,1.82,3.64
1170.14,97.51,49.6,1.82,3.64
1169.96,97.5,49.57,1.82,3.64
1169.79,97.48,49.57,1.82,3.64
1169.62,97.47,49.57,1.82,3.64
1169.45,97.45,49.57,1.82,3.64
1169.28,97.44,49.58,1.82,3.64
1169.11,97.43,49.57,1.82,3.64
1168.94,97.41,49.54,1.82,3.64
1168.77,97.4,49.56,1.82,3.64
1168.6,97.38,49.56,1.82,3.64
1168.43,97.37,49.56,1.82,3.64
1168.26,97.35,49.54,1.82,3.64
1168.09,97.34,49.55,1.82,3.64
1167.92,97.33,49.53,1.82,3.64
1167.75,97.31,49.53,1.82,3.64
1167.58,97.3,49.51,1.82,3.64
1167.41,97.28,49.51,1.82,3.64
1167.23,97.27,49.53,1.82,3.64
1167.06,97.26,49.5,1.82,3.64
1166.89,97.24,49.51,1.82,3.64
1166.72,97.23,49.49,1.82,3.64
1166.55,97.21,49.52,1.82,3.64
1166.38,97.2,49.5,1.82,3.64
1166.21,97.18,49.5,1.82,3.64
1166.04,97.17,49.5,1.82,3.64
1165.87,97.16,49.5,1.82,3.64
1165.7,97.14,49.49,1.82,3.64
1165.53,97.13,49.48,1.82,3.64
1165.36,97.11,49.46,1.82,3.64
1165.19,97.1,49.46,1.82,3.64
1165.02,97.08,49.46,1.82,3.64
1164.85,97.07,49.46,1.82,3.64
1164.67,97.06,49.44,1.82,3.64
1164.5,97.04,49.44,1.82,3.64
1164.33,97.03,49.44,1.82,3.64
1164.16,97.01,49.44,1.82,3.64
1163.99,97,49.4,1.82,3.64
1163.82,96.99,49.42,1.82,3.64
1163.65,96.97,49.41,1.82,3.64
1163.48,96.96,49.44,1.82,3.64
1163.31,96.94,49.43,1.82,3.64
1163.14,96.93,49.4,1.82,3.64
1162.97,96.91,49.38,1.82,3.64
1162.8,96.9,49.38,1.81,3.62
1162.63,96.89,49.38,1.81,3.62
1162.46,96.87,49.36,1.81,3.62
1162.29,96.86,49.36,1.81,3.62
1162.11,96.84,49.34,1.81,3.62
1161.94,96.83,49.35,1.81,3.62
1161.77,96.81,49.36,1.81,3.62
1161.6,96.8,49.37,1.81,3.62
1161.43,96.79,49.35,1.81,3.62
1161.26,96.77,49.35,1.81,3.62
1161.09,96.76,49.36,1.81,3.62
1160.92,96.74,49.34,1.81,3.62
1160.75,96.73,49.34,1.81,3.62
1160.58,96.71,49.33,1.81,3.62
1160.41,96.7,49.34,1.81,3.62
1160.24,96.69,49.33,1.81,3.62
1160.07,96.67,49.33,1.81,3.62
1159.9,96.66,49.33,1.81,3.62
1159.73,96.64,49.29,1.81,3.62
1159.55,96.63,49.28,1.81,3.62
1159.38,96.62,49.28,1.81,3.62
1159.21,96.6,49.26,1.81,3.62
1159.04,96.59,49.27,1.81,3.62
1158.87,96.57,49.28,1.81,3.62
1158.7,96.56,49.27,1.81,3.62
1158.53,96.54,49.27,1.81,3.62
1158.36,96.53,49.26,1.81,3.62
1158.19,96.52,49.29,1.81,3.62
1158.02,96.5,49.29,1.81,3.62
1157.85,96.49,49.29,1.81,3.62
1157.68,96.47,49.28,1.81,3.62
1157.51,96.46,49.29,1.81,3.62
1157.34,96.44,49.28,1.81,3.62
1157.17,96.43,49.29,1.81,3.62
1157,96.42,49.29,1.81,3.62
1156.82,96.4,49.3,1.81,3.62
1156.65,96.39,49.3,1.81,3.62
1156.48,96.37,49.29,1.81,3.62
1156.31,96.36,49.29,1.81,3.62
1156.14,96.35,49.29,1.81,3.62
1155.97,96.33,49.28,1.81,3.62
1155.8,96.32,49.27,1.81,3.62
1155.63,96.3,49.29,1.81,3.62
1155.46,96.29,49.29,1.81,3.62
1155.29,96.27,49.28,1.81,3.62
1155.12,96.26,49.29,1.81,3.62
1154.95,96.25,49.26,1.81,3.62
1154.78,96.23,49.25,1.81,3.62
1154.61,96.22,49.25,1.81,3.62
1154.44,96.2,49.26,1.81,3.62
1154.26,96.19,49.24,1.81,3.62
1154.09,96.17,49.2,1.81,3.62
1153.92,96.16,49.25,1.81,3.62
1153.75,96.15,49.25,1.81,3.62
1153.58,96.13,49.25,1.81,3.62
1153.41,96.12,49.28,1.81,3.62
1153.24,96.1,49.22,1.81,3.62
1153.07,96.09,49.26,1.81,3.62
1152.9,96.07,49.22,1.81,3.62
1152.73,96.06,49.24,1.81,3.62
1152.56,96.05,49.25,1.81,3.62
1152.39,96.03,49.23,1.81,3.62
1152.22,96.02,49.22,1.81,3.62
1152.05,96,49.22,1.81,3.62
1151.88,95.99,49.21,1.81,3.62
1151.7,95.98,49.23,1.81,3.62
1151.53,95.96,49.22,1.81,3.62
1151.36,95.95,49.2,1.81,3.62
1151.19,95.93,49.21,1.81,3.62
1151.02,95.92,49.22,1.81,3.62
1150.85,95.9,49.21,1.81,3.62
1150.68,95.89,49.19,1.81,3.62
1150.51,95.88,49.18,1.81,3.62
1150.34,95.86,49.19,1.81,3.62
1150.17,95.85,49.16,1.81,3.62
1150,95.83,49.18,1.81,3.62
1149.83,95.82,49.17,1.81,3.62
1149.66,95.8,49.15,1.81,3.62
1149.49,95.79,49.15,1.81,3.62
1149.32,95.78,48.48,1.87,3.74
1149.15,95.76,48.17,1.87,3.74
1148.97,95.75,47.98,1.86,3.72
1148.8,95.73,47.99,1.86,3.72
1148.63,95.72,48.09,1.86,3.72
1148.46,95.71,48.15,1.86,3.72
1148.29,95.69,48.16,1.86,3.72
1148.12,95.68,48.16,1.86,3.72
1147.95,95.66,48.16,1.86,3.72
1147.78,95.65,48.17,1.86,3.72
1147.61,95.63,48.15,1.86,3.72
1147.44,95.62,48.13,1.86,3.72
1147.27,95.61,48.14,1.86,3.72
1147.1,95.59,48.15,1.86,3.72
1146.93,95.58,48.1,1.86,3.72
1146.76,95.56,48.15,1.86,3.72
1146.59,95.55,48.12,1.86,3.72
1146.41,95.53,48.14,1.86,3.72
1146.24,95.52,48.14,1.86,3.72
1146.07,95.51,48.13,1.86,3.72
1145.9,95.49,48.11,1.86,3.72
1145.73,95.48,48.1,1.86,3.72
1145.56,95.46,48.11,1.86,3.72
1145.39,95.45,48.12,1.86,3.72
1145.22,95.43,48.12,1.86,3.72
1145.05,95.42,48.14,1.86,3.72
1144.88,95.41,48.12,1.86,3.72
1144.71,95.39,48.11,1.86,3.72
1144.54,95.38,48.13,1.86,3.72
1144.37,95.36,48.12,1.86,3.72
1144.2,95.35,48.1,1.86,3.72
1144.03,95.34,48.12,1.86,3.72
1143.85,95.32,48.1,1.86,3.72
1143.68,95.31,48.11,1.86,3.72
1143.51,95.29,48.08,1.86,3.72
1143.34,95.28,48.09,1.85,3.7
1143.17,95.26,48.1,1.86,3.72
1143,95.25,48.09,1.86,3.72
1142.83,95.24,48.08,1.86,3.72
1142.66,95.22,48.08,1.86,3.72
1142.49,95.21,48.08,1.85,3.7
1142.32,95.19,48.07,1.86,3.72
1142.15,95.18,48.02,1.85,3.7
1141.98,95.16,48.06,1.86,3.72
1141.81,95.15,48.05,1.86,3.72
1141.64,95.14,48.06,1.86,3.72
1141.47,95.12,48.05,1.86,3.72
1141.29,95.11,48.03,1.86,3.72
1141.12,95.09,48.04,1.86,3.72
1140.95,95.08,48.04,1.86,3.72
1140.78,95.07,48.02,1.86,3.72
1140.61,95.05,48.03,1.85,3.7
1140.44,95.04,48.01,1.86,3.72
1140.27,95.02,48.03,1.86,3.72
1140.1,95.01,48.02,1.85,3.7
1139.93,94.99,47.99,1.85,3.7
1139.76,94.98,48,1.85,3.7
1139.59,94.97,48,1.85,3.7
1139.42,94.95,47.99,1.85,3.7
1139.25,94.94,47.99,1.85,3.7
1139.08,94.92,47.98,1.85,3.7
1138.91,94.91,47.98,1.85,3.7
1138.74,94.89,47.99,1.85,3.7
1138.56,94.88,47.97,1.85,3.7
1138.39,94.87,47.95,1.85,3.7
1138.22,94.85,47.96,1.85,3.7
1138.05,94.84,47.96,1.85,3.7
1137.88,94.82,47.95,1.85,3.7
1137.71,94.81,47.94,1.85,3.7
1137.54,94.8,47.93,1.85,3.7
1137.37,94.78,47.93,1.85,3.7
1137.2,94.77,47.94,1.85,3.7
1137.03,94.75,47.94,1.85,3.7
1136.86,94.74,47.94,1.85,3.7
1136.69,94.72,47.93,1.85,3.7
1136.52,94.71,47.93,1.85,3.7
1136.35,94.7,47.94,1.85,3.7
1136.18,94.68,47.93,1.85,3.7
1136,94.67,47.97,1.85,3.7
1135.83,94.65,47.97,1.85,3.7
1135.66,94.64,47.97,1.85,3.7
1135.49,94.62,47.97,1.85,3.7
1135.32,94.61,47.97,1.85,3.7
1135.15,94.6,47.96,1.85,3.7
1134.98,94.58,47.96,1.85,3.7
1134.81,94.57,47.97,1.85,3.7
1134.64,94.55,47.97,1.85,3.7
1134.47,94.54,47.97,1.85,3.7
1134.3,94.52,47.94,1.85,3.7
1134.13,94.51,47.97,1.85,3.7
1133.96,94.5,47.95,1.85,3.7
1133.79,94.48,47.94,1.85,3.7
1133.62,94.47,47.96,1.85,3.7
1133.44,94.45,47.92,1.85,3.7
1133.27,94.44,47.91,1.85,3.7
1133.1,94.43,47.91,1.85,3.7
1132.93,94.41,47.91,1.85,3.7
1132.76,94.4,47.93,1.85,3.7
1132.59,94.38,47.93,1.85,3.7
1132.42,94.37,47.93,1.85,3.7
1132.25,94.35,47.93,1.85,3.7
1132.08,94.34,47.92,1.85,3.7
1131.91,94.33,47.92,1.85,3.7
1131.74,94.31,47.92,1.85,3.7
1131.57,94.3,47.92,1.85,3.7
1131.4,94.28,47.9,1.84,3.68
1131.23,94.27,47.91,1.85,3.7
1131.06,94.25,47.88,1.84,3.68
1130.89,94.24,47.88,1.84,3.68
1130.71,94.23,47.89,1.84,3.68
1130.54,94.21,47.89,1.84,3.68
1130.37,94.2,47.89,1.84,3.68
1130.2,94.18,47.88,1.84,3.68
1130.03,94.17,47.89,1.84,3.68
1129.86,94.16,47.89,1.84,3.68
1129.69,94.14,47.89,1.84,3.68
1129.52,94.13,47.88,1.84,3.68
1129.35,94.11,47.88,1.84,3.68
1129.18,94.1,47.9,1.84,3.68
1129.01,94.08,47.86,1.84,3.68
1128.84,94.07,47.82,1.84,3.68
1128.67,94.06,47.82,1.84,3.68
1128.5,94.04,47.78,1.84,3.68
1128.33,94.03,47.82,1.84,3.68
1128.15,94.01,47.82,1.84,3.68
1127.98,94,47.8,1.84,3.68
1127.81,93.98,47.8,1.84,3.68
1127.64,93.97,47.76,1.84,3.68
1127.47,93.96,47.76,1.84,3.68
