capacity,soc,current,half_voltage,final_voltage
1200,100,26.92,1.84,3.68
1199.83,99.99,27.12,1.84,3.68
1199.66,99.97,27.16,1.84,3.68
1199.49,99.96,27.23,1.84,3.68
1199.32,99.94,27.28,1.84,3.68
1199.15,99.93,27.29,1.83,3.66
1198.98,99.91,27.28,1.83,3.66
1198.81,99.9,27.29,1.83,3.66
1198.63,99.89,27.27,1.82,3.64
1198.46,99.87,27.25,1.82,3.64
1198.29,99.86,27.24,1.82,3.64
1198.12,99.84,27.25,1.81,3.62
1197.95,99.83,27.25,1.8,3.6
1197.78,99.82,27.28,1.8,3.6
1197.61,99.8,27.3,1.79,3.58
1197.44,99.79,27.35,1.78,3.56
1197.27,99.77,27.38,1.79,3.58
1197.1,99.76,27.35,1.78,3.56
1196.93,99.74,27.38,1.78,3.56
1196.76,99.73,27.41,1.78,3.56
1196.59,99.72,27.4,1.78,3.56
1196.42,99.7,27.36,1.77,3.54
1196.25,99.69,27.31,1.76,3.52
1196.07,99.67,27.07,1.73,3.46
1195.9,99.66,26.92,1.73,3.46
1195.73,99.64,27.03,1.75,3.5
1195.56,99.63,27.21,1.76,3.52
1195.39,99.62,27,1.76,3.52
1195.22,99.6,27.19,1.77,3.54
1195.05,99.59,27.07,1.75,3.5
1194.88,99.57,27.23,1.77,3.54
1194.71,99.56,27.32,1.77,3.54
1194.54,99.54,27.22,1.76,3.52
1194.37,99.53,27.06,1.75,3.5
1194.2,99.52,27.04,1.75,3.5
1194.03,99.5,26.86,1.75,3.5
1193.86,99.49,27.02,1.76,3.52
1193.69,99.47,27.18,1.77,3.54
1193.52,99.46,27.18,1.76,3.52
1193.34,99.45,27.14,1.77,3.54
1193.17,99.43,27.32,1.77,3.54
1193,99.42,27.37,1.78,3.56
1192.83,99.4,27.38,1.77,3.54
1192.66,99.39,27.38,1.77,3.54
1192.49,99.37,27.36,1.77,3.54
1192.32,99.36,27.37,1.77,3.54
1192.15,99.35,27.38,1.77,3.54
1191.98,99.33,27.36,1.77,3.54
1191.81,99.32,27.36,1.77,3.54
1191.64,99.3,27.34,1.77,3.54
1191.47,99.29,27.34,1.77,3.54
1191.3,99.27,27.34,1.77,3.54
1191.13,99.26,27.35,1.77,3.54
1190.96,99.25,27.34,1.77,3.54
1190.78,99.23,27.34,1.77,3.54
1190.61,99.22,27.33,1.77,3.54
1190.44,99.2,27.26,1.76,3.52
1190.27,99.19,27.26,1.76,3.52
1190.1,99.18,27.3,1.76,3.52
1189.93,99.16,27.22,1.76,3.52
1189.76,99.15,27.24,1.76,3.52
1189.59,99.13,27.28,1.76,3.52
1189.42,99.12,27.29,1.76,3.52
1189.25,99.1,27.31,1.76,3.52
1189.08,99.09,27.37,1.76,3.52
1188.91,99.08,27.38,1.76,3.52
1188.74,99.06,27.31,1.76,3.52
1188.57,99.05,27.35,1.76,3.52
1188.4,99.03,27.4,1.76,3.52
1188.22,99.02,27.42,1.76,3.52
1188.05,99,27.41,1.76,3.52
1187.88,98.99,27.39,1.76,3.52
1187.71,98.98,27.38,1.76,3.52
1187.54,98.96,27.37,1.76,3.52
1187.37,98.95,27.39,1.76,3.52
1187.2,98.93,27.38,1.76,3.52
1187.03,98.92,27.37,1.76,3.52
1186.86,98.9,27.38,1.76,3.52
1186.69,98.89,27.41,1.76,3.52
1186.52,98.88,27.45,1.76,3.52
1186.35,98.86,27.42,1.76,3.52
1186.18,98.85,27.45,1.76,3.52
1186.01,98.83,27.43,1.76,3.52
1185.84,98.82,27.41,1.76,3.52
1185.67,98.81,27.43,1.76,3.52
1185.49,98.79,27.47,1.76,3.52
1185.32,98.78,27.47,1.76,3.52
1185.15,98.76,27.48,1.76,3.52
1184.98,98.75,27.47,1.76,3.52
1184.81,98.73,27.47,1.76,3.52
1184.64,98.72,27.48,1.76,3.52
1184.47,98.71,27.48,1.76,3.52
1184.3,98.69,27.48,1.76,3.52
1184.13,98.68,27.48,1.76,3.52
1183.96,98.66,27.49,1.76,3.52
1183.79,98.65,27.47,1.76,3.52
1183.62,98.63,27.47,1.76,3.52
1183.45,98.62,27.43,1.76,3.52
1183.28,98.61,27.42,1.76,3.52
1183.11,98.59,27.44,1.76,3.52
1182.93,98.58,27.43,1.76,3.52
1182.76,98.56,27.44,1.76,3.52
1182.59,98.55,27.43,1.75,3.5
