capacity,soc,current,half_voltage,final_voltage
1074.23,97.66,47.71,2.04,4.08
1074.06,97.64,47.74,2.04,4.08
1073.89,97.63,47.73,2.04,4.08
1073.72,97.61,47.73,2.04,4.08
1073.55,97.59,47.74,2.04,4.08
1073.38,97.58,47.72,2.04,4.08
1073.21,97.56,47.73,2.04,4.08
1073.04,97.55,47.72,2.04,4.08
1072.87,97.53,47.73,2.04,4.08
1072.7,97.52,47.73,2.04,4.08
1072.52,97.5,47.75,2.05,4.1
1072.35,97.49,47.74,2.04,4.08
1072.18,97.47,47.74,2.05,4.1
1072.01,97.46,47.75,2.05,4.1
1071.84,97.44,47.74,2.04,4.08
1071.67,97.42,47.75,2.04,4.08
1071.5,97.41,47.73,2.04,4.08
1071.33,97.39,47.75,2.05,4.1
1071.16,97.38,47.75,2.05,4.1
1070.99,97.36,47.73,2.04,4.08
1070.82,97.35,47.74,2.04,4.08
1070.65,97.33,47.74,2.04,4.08
1070.48,97.32,47.73,2.04,4.08
1070.31,97.3,47.73,2.04,4.08
1070.14,97.28,47.74,2.04,4.08
1069.96,97.27,47.69,2.04,4.08
1069.79,97.25,47.73,2.04,4.08
1069.62,97.24,47.75,2.04,4.08
1069.45,97.22,47.75,2.04,4.08
1069.28,97.21,47.73,2.04,4.08
1069.11,97.19,47.75,2.04,4.08
1068.94,97.18,47.75,2.04,4.08
1068.77,97.16,47.74,2.04,4.08
1068.6,97.14,47.73,2.06,4.12
1068.43,97.13,47.74,2.04,4.08
1068.26,97.11,47.75,2.04,4.08
1068.09,97.1,47.74,2.04,4.08
1067.92,97.08,47.73,2.04,4.08
1067.75,97.07,47.72,2.04,4.08
1067.58,97.05,47.72,2.04,4.08
1067.41,97.04,47.72,2.04,4.08
1067.23,97.02,47.72,2.04,4.08
1067.06,97,47.72,2.04,4.08
1066.89,96.99,47.71,2.04,4.08
1066.72,96.97,47.7,2.04,4.08
1066.55,96.96,47.73,2.04,4.08
1066.38,96.94,47.71,2.04,4.08
1066.21,96.93,47.69,2.04,4.08
1066.04,96.91,47.7,2.04,4.08
1065.87,96.9,47.69,2.04,4.08
1065.7,96.88,47.7,2.03,4.06
1065.53,96.87,47.71,2.03,4.06
1065.36,96.85,47.69,2.03,4.06
1065.19,96.83,47.69,2.03,4.06
1065.02,96.82,47.7,2.03,4.06
1064.85,96.8,47.69,2.03,4.06
1064.67,96.79,47.68,2.04,4.08
1064.5,96.77,47.69,2.04,4.08
1064.33,96.76,47.7,2.04,4.08
1064.16,96.74,47.68,2.04,4.08
1063.99,96.73,47.68,2.04,4.08
1063.82,96.71,47.68,2.04,4.08
1063.65,96.69,47.69,2.03,4.06
1063.48,96.68,47.68,2.04,4.08
1063.31,96.66,47.67,2.04,4.08
1063.14,96.65,47.7,2.04,4.08
1062.97,96.63,47.69,2.06,4.12
1062.8,96.62,47.68,2.04,4.08
1062.63,96.6,47.67,2.04,4.08
1062.46,96.59,47.66,2.04,4.08
1062.29,96.57,47.69,2.04,4.08
