epoch,loss,mae,val_loss,val_mae
0,0.008789455518126488,0.41316649317741394,0.0004809790407307446,0.5178380012512207
1,0.0008701931219547987,0.4193228483200073,0.0009620643104426563,0.5016890168190002
2,0.0005493591306731105,0.4194267988204956,0.0011446588905528188,0.49934864044189453
3,0.0004596901999320835,0.41963666677474976,0.0011191334342584014,0.5009768605232239
4,0.00045386794954538345,0.4198925197124481,0.001067024189978838,0.49827033281326294
5,0.0004379737365525216,0.4198942184448242,0.0012663010274991393,0.4949503242969513
6,0.0004246487224008888,0.4198305904865265,0.001054023508913815,0.5039035677909851
7,0.0004385444044601172,0.41982993483543396,0.0012052875244989991,0.5011171102523804
8,0.00043933899723924696,0.419779896736145,0.0011549530318006873,0.501507043838501
9,0.0004402974445838481,0.41967931389808655,0.001232680631801486,0.49673110246658325
10,0.0004378664889372885,0.4196309745311737,0.0014192141825333238,0.4993741810321808
